TEAM,,SEASON,PTS,eFG%,TS%,TOV%,AST%,ORtg,BPM
Picture,,2014-2015,27.4,0.511,0.605,14.9,34.6,118,8.8
Picture,,2015-2016,29.0,0.512,0.598,15.9,35.4,115,6.6
Picture,,2016-2017,29.1,0.525,0.613,19.5,50.7,118,8.7
Picture,,2017-2018,30.4,0.541,0.619,15.1,45.1,120,9.9
Picture,,2018-2019,36.1,0.541,0.616,14.5,39.5,118,11.0
Picture,,2019-2020,34.3,0.543,0.626,14.2,35.9,120,9.6
Picture,Picture,2020-2021,24.6,0.548,0.618,16.8,44.4,122,7.2
Picture,Picture,2021-2022,22.0,0.485,0.583,18.8,40.3,115,4.0
Picture,,2022-2023,21.0,0.536,0.607,16.3,43.3,123,5.4
Picture,,2023-2024,16.6,0.541,0.612,16.0,33.6,125,4.1
Picture,,2024-2025,22.0,0.501,0.582,18.0,36.8,114,4.3
