Count,City,Club Name,Rating,Reviews,Closing Time,WeightedRating,,TIME_INTEGER,TIME_AVG,TopClubScore
1,Atlanta,Magic City,3.8,559,3:00 AM,10.44016487,3.747134631,3,3.259259259,13.44703562
2,Atlanta,Cheetah Lounge,3.9,200,3:00 AM,8.974016983,,3,,
3,Atlanta,Pink Pony,3.5,409,2:00 AM,9.141031578,,2,,
4,Atlanta,GOLDRUSH,4.4,128,3:00 AM,9.271723866,,3,,
5,Atlanta,Blue Flame Lounge,3.5,324,3:00 AM,8.786907536,,3,,
6,Atlanta,Tattletale Lounge,3.7,223,3:00 AM,8.688727993,,3,,
7,Atlanta,Clermont Lounge,3.9,288,3:00 AM,9.591630702,,3,,
8,Atlanta,KING OF DIAMONDS,3.8,410,4:00 AM,9.928578656,,4,,
9,Atlanta,Allure Gentlemen's Club,2.8,85,3:00 AM,5.402372992,,3,,
10,Atlanta,Onyx Gentlemen's Club- Atlanta,3.8,559,3:00 AM,10.44016487,,3,,
11,Atlanta,GENTLEMEN'S CLUB,3.2,58,3:00 AM,5.642969579,,3,,
12,Atlanta,KING OF DIAMONDS ATLANTA,3.8,410,4:00 AM,9.928578656,,4,,
13,Atlanta,Peaches of Atlanta,3.8,66,3:00 AM,6.914266955,,3,,
14,Atlanta,Club Blaze,3.6,188,3:00 AM,8.186968257,,3,,
15,Atlanta,Platinum Gentleman's Club Atlanta,3.5,73,3:00 AM,6.52163001,,3,,
16,Atlanta,Royal Peacock Lounge,4.5,713,4:00 AM,12.83890288,,4,,
17,Atlanta,Rumors,3.7,152,3:30 AM,8.072821275,,3.5,,
18,Atlanta,Vivide Atlanta,3.1,72,3:30 AM,5.757730739,,3.5,,
19,Atlanta,Insomnia Nightclub,4.9,555,4:00 AM,13.44703562,,4,,
20,Atlanta,Rain's Gentlemen's Club,3.4,38,3:00 AM,5.371264228,,3,,
21,Atlanta,VLIVE ATLANTA,4.2,324,3:00 AM,10.54428904,,3,,
22,Atlanta,Trapeze,4.2,324,3:00 AM,10.54428904,,3,,
23,Atlanta,XTC Atlanta,2.6,55,24/7,4.524942993,,5,,
24,Atlanta,Candyland,3.8,55,3:00 AM,6.61337822,,3,,
25,Atlanta,Club Wax,3.5,103,3:00 AM,7.044930286,,3,,
26,Atlanta,Fannies' Cabaret,3.1,80,3:00 AM,5.89957896,,3,,
27,Atlanta,Future Atlanta,3.8,73,4:00 AM,7.080626868,,4,,
,,,,,,,,,,
1,Boston,Jacques' Cabaret,4.2,41,12:00 AM,6.773692198,3.525077772,0,1.5,6.773692198
2,Boston,Centerfolds Boston,2.8,106,2:00 AM,5.670856423,,2,,
3,Boston,The Glass Slipper,2.95,83,2:00 AM,5.661280373,,2,,
4,Boston,Somerset Club,4.6,24,2:00 AM,6.348971712,,2,,
,,,,,,,,,,
1,Brooklyn,Foxy Gentlemen's Club,3.1,99,4:00 AM,6.186469103,3.434973772,4,4,9.623919072
2,Brooklyn,PUMPS,3.85,173,4:00 AM,8.616477497,,4,,
3,Queens,VIXEN,3.5,13,4:00 AM,3.898801733,,4,,
4,Queens,Show Palace Gentlemen's Club NYC,3.25,301,4:00 AM,8.055341111,,4,,
5,Queens,Riviera Gentleman's Club,3,176,4:00 AM,6.736538003,,4,,
6,Queens,Vanity Club NY,2.3,15,4:00 AM,2.705009896,,4,,
7,Queens,Dream Gentlemen's Club,3.3,25,4:00 AM,4.613202029,,4,,
8,Queens,Mermaids,3.5,27,4:00 AM,5.009773175,,4,,
9,Queens,Starlet's of New York,3.55,514,4:00 AM,9.623919072,,4,,
10,Queens,NYC Gentlemen's Club,4.1,128,4:00 AM,8.639560876,,4,,
11,Queens,Sugar DaddySugardaddy's Gentlemen's Club,3.8,176,4:00 AM,8.532948138,,4,,
,,,,,,,,,,
1,Charlotte,The Men's Club of Charlotte,4,224,4:00 AM,9.400992073,3.544332566,4,2.944444444,12.22067802
2,Charlotte,Gold Club of Charlotte,3.2,117,4:00 AM,6.618194758,,4,,
3,Charlotte,The Gentlemen's Club-Charlotte,2.95,154,2:00 AM,6.453186126,,2,,
4,Charlotte,Leather and Lace South,4,93,2:00 AM,7.873931794,,2,,
5,Charlotte,Paper Doll Lounge,3.05,158,2:30 AM,6.705904115,,2.5,,
6,Charlotte,Queens Cabaret,3.6,30,1:30 AM,5.317636517,,1.5,,
7,Charlotte,Candi's Cabaret,3.2,107,3:00 AM,6.494028089,,3,,
8,Charlotte,Club Onyx Charlotte,4.4,599,5:00 AM,12.22067802,,5,,
9,Charlotte,Crazy Horse Showclub of Charlotte,3.2,67,2:30 AM,5.843439369,,2.5,,
,,,,,,,,,,
1,Chicago,Rick's Cabaret Chicago,4.5,1000,4:00 AM,13.5,3.891213756,4,3.916666667,13.5
2,Chicago,Deja Vu Showgirls - Chicago Strip Club,3.3,320,4:00 AM,8.266994928,,4,,
3,Chicago,Admiral Theatre - Chicago Strip Club,3.7,378,6:00 AM,9.536719659,,6,,
4,Chicago,Fame Nightclub,3.7,169,4:30 AM,8.243180807,,4.5,,
5,Chicago,Lore Chicago,3.1,65,4:00 AM,5.620031406,,4,,
6,Chicago,Strippers Chicago,4.8,162,1:00 AM,10.60567207,,1,,
,,,,,,,,,,
1,Cleveland,Lulu's Cabaret Cleveland,5,3,2:00 AM,2.385606274,3.535654288,2,2.142857143,7.997318506
2,Cleveland,Christie's Cabaret,3.45,208,2:30 AM,7.997318506,,2.5,,
3,Cleveland,Power Cabaret,3.8,16,1:00 AM,4.575655934,,1,,
4,Cleveland,The Executive's Den,2.7,47,2:30 AM,4.514664216,,2.5,,
5,Cleveland,Diamond Club,3.6,84,2:30 AM,6.92740543,,2.5,,
6,Cleveland,Airport Crazy Horse,4,86,2:00 AM,7.737993805,,2,,
7,Cleveland,Privilege Gentleman's Club,3.3,76,2:30 AM,6.206684855,,2.5,,
,,,,,,,,,,
1,Dallas,Rick's Cabaret Dallas Ft Worth,4.5,550,4:00 AM,12.3316321,4.347567518,4,2.222222222,13.23321542
2,Dallas,Tiger Cabaret,4.2,47,2:00 AM,7.022811003,,2,,
3,Dallas,Dallas Showclub Gentlemen's Club,4.7,229,2:00 AM,11.09122677,,2,,
4,Dallas,Spearmint Rhino Gentlemen's Club Dallas,4,332,2:00 AM,10.08455233,,2,,
5,Dallas,Spearmint Rhino Gentlemen's Club Dallas North,4.6,300,2:00 AM,11.39475777,,2,,
6,Dallas,The Platinum Club,4.8,60,2:00 AM,8.535126002,,2,,
7,Dallas,PT's Mens Club Dallas Strip,3.5,415,2:00 AM,9.163168338,,2,,
8,Dallas,Chicas Locas Dallas,4.7,654,2:00 AM,13.23321542,,2,,
9,Dallas,DG's A Gentlemens Club Dallas,4.2,171,2:00 AM,9.378583664,,2,,
,,,,,,,,,,
1,Denver,PT's Showclub Denver,4,786,2:00 AM,11.58169018,4.00250201,2,2.666666667,13.05377459
2,Denver,Dandy Dan's,3.8,366,2:00 AM,9.741228124,,2,,
3,Denver,Shotgun Willie's,4.05,1400,4:00 AM,12.74181854,,4,,
4,Denver,Scarlett's Cabaret Denver,4.35,1002,4:00 AM,13.05377459,,4,,
5,Denver,Diamond Cabaret,3.85,512,2:00 AM,10.43068935,,2,,
6,Denver,"Rick's Cabaret Denver, formerly La Boheme",3.9,292,2:00 AM,9.614993121,,2,,
,,,,,,,,,,
1,Detroit,Players Gentlemen's Club,3.9,144,2:00 AM,8.417613719,3.604062245,2,1.975,9.554696471
2,Detroit,Legends,3.8,253,2:00 AM,9.13185798,,2,,
3,Detroit,Dream Girls - Detroit Strip Club,4.1,214,2:00 AM,9.554696471,,2,,
4,Detroit,Coliseum Adult Entertainment,3.4,168,2:00 AM,7.566051558,,2,,
5,Detroit,Elysium Gentlemen's Club,3.3,73,2:00 AM,6.148965438,,2,,
6,Detroit,Truth Detroit Gentlemen�s Club,4,25,2:00 AM,5.591760035,,2,,
7,Detroit,Trumpps,3.5,102,2:00 AM,7.030100601,,2,,
8,Detroit,Centerfold Lounge Detroit,3.9,79,2:00 AM,7.400745656,,2,,
9,Detroit,Pantheion Club,3.3,135,1:45 AM,7.030101436,,1.75,,
10,Detroit,Silver Criket,2.8,74,2:00 AM,5.233848815,,2,,
,,,,,,,,,,
1,Houston,Club ONYX Houston,4.2,518,4:00 AM,11.40018499,4.043519348,4,4.15,14.61001979
2,Houston,Polekatz Houston Gentlemen's Club,4.6,1500,5:00 AM,14.61001979,,5,,
3,Houston,The Ritz,4.5,426,2:00 AM,11.8323432,,2,,
4,Houston,Bucks Wild,4.3,495,5:00 AM,11.58680236,,5,,
5,Houston,Chicas Locas,4.4,882,4:00 AM,12.96006177,,4,,
6,Houston,The Men's Club of Houston,4.1,336,4:00 AM,10.35799104,,4,,
7,Houston,The Vault Gentlemen�s Club,4.1,404,5:00 AM,10.6861636,,5,,
8,Houston,Dome Nightclub,3,450,2:00 AM,7.959637541,,2,,
9,Houston,Show Palace,4.3,397,5:00 AM,11.17479918,,5,,
10,Houston,Fantasy Cabaret,3.4,104,5:00 AM,6.857913354,,5,,
11,Houston,Treasures Houston,2.8,191,4:00 AM,6.386893428,,4,,
12,Houston,Paradise City,4,356,5:00 AM,10.20579999,,5,,
13,Houston,Centerfolds Houston,3.8,104,3:00,7.664726689,,3,,
14,Houston,abdc1,4,578,4:00 AM,11.04771135,,4,,
15,Houston,abdc2,3.75,915,5:00 AM,11.1053291,,5,,
16,Houston,abdc3,4.2,645,2:00 AM,11.8001508,,2,,
17,Houston,abdc4,4.35,1180,5:00 AM,13.36268673,,5,,
18,Houston,abdc5,3.9,717,5:00 AM,11.13652471,,5,,
19,Houston,abdc6,4.2,815,4:00 AM,12.22686196,,4,,
20,Houston,abdc7,4.4,554,5:00 AM,12.07144296,,5,,
,,,,,,,,,,
,,,,,,,,,,
1,Indianapolis,Dancers Showclub,4.3,350,3:00 AM,10.93949259,3.944213209,3,3,10.93949259
2,Indianapolis,The Pony - Indianapolis Strip Club,4.1,224,3:00 AM,9.636016875,,3,,
3,Indianapolis,Jaguars - Indianapolis Strip Club,4.1,120,3:00 AM,8.524643109,,3,,
4,Indianapolis,Jiggles Strip Joint - Indianapolis Strip Club,4,72,3:00 AM,7.429329986,,3,,
5,Indianapolis,Brad's Brass Flamingo,3.8,238,3:00 AM,9.030992437,,3,,
6,Indianapolis,Red Garter Gentleman's Club,3.2,151,3:00 AM,6.972726231,,3,,
7,Indianapolis,Sunset Strip,3.8,86,3:00 AM,7.351094115,,3,,
8,Indianapolis,Silk The Showclub,3.7,98,3:00 AM,7.36753648,,3,,
9,Indianapolis,Patty's Showclub,3.1,32,3:00 AM,4.665964933,,3,,
10,Indianapolis,White Rabbit Cabaret,4.6,197,3:00 AM,10.55454464,,3,,
11,Indianapolis,Reel One Indy,4.4,56,3:00 AM,7.692027319,,3,,
,,,,,,,,,,
1,Los Angeles,Unknown,3.4,152,5:00 AM,7.418268199,3.774748336,5,2.431034483,11.98440321
2,Los Angeles,Skin Gentlemen's Club,3.8,103,4:00 AM,7.648781454,,4,,
3,Los Angeles,Synn Gentlemen's Club - Beverly Hills,3.9,86,3:00 AM,7.54454396,,3,,
4,Los Angeles,Rio Gentlemen's Club - Los Angeles,3.2,111,2:00 AM,6.545033532,,2,,
5,Los Angeles,Imperial Showgirls - Anaheim,4,77,2:00 AM,7.545962901,,2,,
6,Los Angeles,Silver Reign Gentlemen's Club,3.5,67,2:00 AM,6.391261809,,2,,
7,Los Angeles,4Play The Gentlemen's Club,3.9,119,2:00 AM,8.094633149,,2,,
8,Los Angeles,The Gentlemen's Club,3,71,2:00 AM,5.553775046,,2,,
9,Los Angeles,Sam's Hofbrau,4.1,180,4:00 AM,9.246617271,,4,,
10,Los Angeles,Deja Vu Showgirls Hollywood Strip Club,3.7,181,5:00 AM,8.353410727,,5,,
11,Los Angeles,Seventh Veil - Hollywood,3.6,114,5:00 AM,7.404857465,,5,,
12,Los Angeles,Jet Strip,4,130,4:00 AM,8.455773409,,4,,
13,Los Angeles,Platinum Showgirls LA,3.5,100,2:00 AM,7,,2,,
14,Los Angeles,Dreams Gentlemens Club,4.6,403,2:00 AM,11.98440321,,2,,
15,Los Angeles,Fantasy Castle - Signal Hill Strip Club,3.9,108,2:00 AM,7.930352646,,2,,
16,Los Angeles,Pink Diamonds Gentlemens Club,4.3,190,2:00 AM,9.798640484,,2,,
17,Los Angeles,La Vida Gentlemen's Club,3.9,81,2:00 AM,7.443091574,,2,,
18,Los Angeles,Synn Gentlemen's Club - City of Industry,4.2,120,2:00 AM,8.732561233,,2,,
19,Los Angeles,The Alameda Strip Club,3.2,90,2:00 AM,6.25357603,,2,,
20,Los Angeles,Hollywood Cheetahs,3.5,72,2:00 AM,6.500663738,,2,,
21,Los Angeles,Bare Elegance,3.6,33,2:00 AM,5.466650184,,2,,
22,Los Angeles,Synn Gentlemen's Club - North Hills,3.8,76,2:00 AM,7.147091651,,2,,
23,Los Angeles,Spearmint Rhino Gentlemen's Club Van Nuys,4.1,55,2:00 AM,7.135487027,,2,,
24,Los Angeles,The Hollywood Men Male Strip Club,4.7,106,2:00 AM,9.518937567,,2,,
25,Los Angeles,The Playpen,3.8,106,2:00 AM,7.696162288,,2,,
26,Los Angeles,Dames N' Games Topless Sports Bar Los Angeles,4,138,2:00 AM,8.559516346,,2,,
27,Los Angeles,Red Tie Gentlemen's Club,3.4,92,2:00 AM,6.676878613,,2,,
28,Los Angeles,The Players Club,4.5,30,2:00 AM,6.647045646,,2,,
29,Los Angeles,Exotique Girls Los Angeles Strippers,4.3,11,2:00 AM,4.477988546,,2,,
30,Los Angeles,Slammer,4.1,155,2:00 AM,8.980359962,,2,,
31,Los Angeles,California Girls Anaheim,4.1,144,2:00 AM,8.849286218,,2,,
32,Los Angeles,Los Candiles Night Club,4.4,65,2:00 AM,7.976818769,,2,,
33,Los Angeles,Jumbo's Clown Room,4,154,2:00 AM,8.750082883,,2,,
34,Los Angeles,Male Strip Club Los Angeles - Hunk-O-Mania,4.9,152,2:00 AM,10.69103358,,2,,
35,Los Angeles,XS Gentlemen's Club & Afterhours,4,82,2:00 AM,7.65525541,,2,,
36,Los Angeles,Crazy Girls,3.1,21,2:00 AM,4.098879814,,2,,
37,Los Angeles,Nicola's,3.6,106,2:00 AM,7.291101115,,2,,
38,Los Angeles,Xposed Gentlemen's Club,3.1,221,2:00 AM,7.267616048,,2,,
39,Los Angeles,Plan B,3.2,85,2:00 AM,6.174140562,,2,,
40,Los Angeles,The Viper Room,4.4,211,2:00 AM,10.2268428,,2,,
41,Los Angeles,Club Burlesque Topless Strip Club Lounge and Bar North Hollywood,3.7,34,2:00 AM,5.666471993,,2,,
42,Los Angeles,TJ's Showgirls,3.5,68,2:00 AM,6.413781194,,2,,
43,Los Angeles,Star Garden Topless Dive Bar North Hollywood,2.7,91,4:00 AM,5.289411759,,4,,
44,Los Angeles,The Holiday Gentlemens Club Orange County,4.5,26,2:00 AM,6.367380066,,2,,
45,Los Angeles,Sound Nightclub,3.9,499,2:00 AM,10.52259213,,2,,
46,Los Angeles,Tropical Club,3.3,24,4:00 AM,4.554697098,,4,,
47,Los Angeles,Black Diamond Male Revue & Strippers Club,3.4,20,2:00 AM,4.423501985,,2,,
48,Los Angeles,Club Tempo,4,272,2:00 AM,9.738275616,,2,,
49,Los Angeles,The Body Shop,3.5,86,2:00 AM,6.770744579,,2,,
50,Los Angeles,Giggles Night Club,3.6,457,2:00 AM,9.57569832,,2,,
51,Los Angeles,Candy Cat Too!,3.9,59,4:00 AM,6.906322845,,4,,
52,Los Angeles,The Library Gentlemen's Club,3.5,126,2:00 AM,7.351296908,,2,,
53,Los Angeles,Gold Club Topless Bar,4.1,23,2:00 AM,5.583084128,,2,,
54,Los Angeles,Spearmint Rhino Gentlemen's Club Torrance,3.4,75,5:00 AM,6.375208296,,5,,
55,Los Angeles,VIP Cabaret,3.7,60,2:00 AM,6.579159626,,2,,
56,Los Angeles,Dragonfly Hollywood,3.2,107,2:00 AM,6.494028089,,2,,
57,Los Angeles,La Mirage Restaurant & Nightclub,3.1,277,2:00 AM,7.571687284,,2,,
58,Los Angeles,Bliss Show Girls,3.3,59,2:00 AM,5.843811638,,2,,
,,,,,,,,,,
1,Manhattan,Hoops Cabaret,4.9,1200,4:00 AM,15.08798811,4.258706176,4,4,18.75542969
2,Manhattan,Rick's Cabaret New York,4.4,718,4:00 AM,12.56694755,,4,,
3,Manhattan,Vivid Cabaret,4.6,542,4:00 AM,12.57639672,,4,,
4,Manhattan,Sapphire New York,4.2,386,4:00 AM,10.86366668,,4,,
5,Manhattan,Sapphire Times Square NYC Gentlemen's Club,4.2,164,4:00 AM,9.302344162,,4,,
